Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 25-44,28.9,Age 65 or older,9.7
Age 45-64,25.2,Age 18-24,27.5
Age 45-64,25.2,Age 25-44,28.9
Age 45-64,25.2,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,27.5
Age 65 or older,9.7,Age 25-44,28.9
Age 65 or older,9.7,Age 45-64,25.2
Age 18-24,24.0,Age 25-44,21.2
Age 18-24,24.0,Age 45-64,21.5
Age 18-24,24.0,Age 65 or older,11.6
Age 25-44,21.2,Age 18-24,24.0
Age 25-44,21.2,Age 45-64,21.5
Age 25-44,21.2,Age 65 or older,11.6
Age 45-64,21.5,Age 18-24,24.0
Age 45-64,21.5,Age 25-44,21.2
Age 45-64,21.5,Age 65 or older,11.6
Age 65 or older,11.6,Age 18-24,24.0
Age 65 or older,11.6,Age 25-44,21.2
Age 65 or older,11.6,Age 45-64,21.5
Age 18-24,18.9,Age 25-44,19.0
Age 18-24,18.9,Age 45-64,18.9
Age 18-24,18.9,Age 65 or older,9.5
Age 25-44,19.0,Age 18-24,18.9
Age 25-44,19.0,Age 45-64,18.9
Age 25-44,19.0,Age 65 or older,9.5
Age 45-64,18.9,Age 18-24,18.9
Age 45-64,18.9,Age 25-44,19.0
Age 45-64,18.9,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,18.9
Age 65 or older,9.5,Age 25-44,19.0
Age 65 or older,9.5,Age 45-64,18.9
Age 18-24,27.3,Age 25-44,30.5
Age 18-24,27.3,Age 45-64,27.7
Age 18-24,27.3,Age 65 or older,10.2
Age 25-44,30.5,Age 18-24,27.3
Age 25-44,30.5,Age 45-64,27.7
Age 25-44,30.5,Age 65 or older,10.2
Age 45-64,27.7,Age 18-24,27.3
Age 45-64,27.7,Age 25-44,30.5
Age 45-64,27.7,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,27.3
Age 65 or older,10.2,Age 25-44,30.5
Age 65 or older,10.2,Age 45-64,27.7
Age 18-24,11.9,Age 25-44,15.0
Age 18-24,11.9,Age 45-64,13.4
Age 18-24,11.9,Age 65 or older,5.9
Age 25-44,15.0,Age 18-24,11.9
Age 25-44,15.0,Age 45-64,13.4
Age 25-44,15.0,Age 65 or older,5.9
Age 45-64,13.4,Age 18-24,11.9
Age 45-64,13.4,Age 25-44,15.0
Age 45-64,13.4,Age 65 or older,5.9
Age 65 or older,5.9,Age 18-24,11.9
Age 65 or older,5.9,Age 25-44,15.0
Age 65 or older,5.9,Age 45-64,13.4
Age 18-24,16.8,Age 25-44,21.3
Age 18-24,16.8,Age 45-64,18.3
Age 18-24,16.8,Age 65 or older,9.1
Age 25-44,21.3,Age 18-24,16.8
Age 25-44,21.3,Age 45-64,18.3
Age 25-44,21.3,Age 65 or older,9.1
Age 45-64,18.3,Age 18-24,16.8
Age 45-64,18.3,Age 25-44,21.3
Age 45-64,18.3,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,16.8
Age 65 or older,9.1,Age 25-44,21.3
Age 65 or older,9.1,Age 45-64,18.3
Age 18-24,17.7,Age 25-44,21.7
Age 18-24,17.7,Age 45-64,15.1
Age 18-24,17.7,Age 65 or older,7.6
Age 25-44,21.7,Age 18-24,17.7
Age 25-44,21.7,Age 45-64,15.1
Age 25-44,21.7,Age 65 or older,7.6
Age 45-64,15.1,Age 18-24,17.7
Age 45-64,15.1,Age 25-44,21.7
Age 45-64,15.1,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,17.7
Age 65 or older,7.6,Age 25-44,21.7
Age 65 or older,7.6,Age 45-64,15.1
Age 18-24,21.3,Age 25-44,25.3
Age 18-24,21.3,Age 45-64,20.1
Age 18-24,21.3,Age 65 or older,8.9
Age 25-44,25.3,Age 18-24,21.3
Age 25-44,25.3,Age 45-64,20.1
Age 25-44,25.3,Age 65 or older,8.9
Age 45-64,20.1,Age 18-24,21.3
Age 45-64,20.1,Age 25-44,25.3
Age 45-64,20.1,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,21.3
Age 65 or older,8.9,Age 25-44,25.3
Age 65 or older,8.9,Age 45-64,20.1
Age 18-24,21.9,Age 25-44,17.8
Age 18-24,21.9,Age 45-64,26.9
Age 18-24,21.9,Age 65 or older,8.2
Age 25-44,17.8,Age 18-24,21.9
Age 25-44,17.8,Age 45-64,26.9
Age 25-44,17.8,Age 65 or older,8.2
Age 45-64,26.9,Age 18-24,21.9
Age 45-64,26.9,Age 25-44,17.8
Age 45-64,26.9,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,21.9
Age 65 or older,8.2,Age 25-44,17.8
Age 65 or older,8.2,Age 45-64,26.9
Age 18-24,17.8,Age 25-44,21.6
Age 18-24,17.8,Age 45-64,20.5
Age 18-24,17.8,Age 65 or older,8.1
Age 25-44,21.6,Age 18-24,17.8
Age 25-44,21.6,Age 45-64,20.5
Age 25-44,21.6,Age 65 or older,8.1
Age 45-64,20.5,Age 18-24,17.8
Age 45-64,20.5,Age 25-44,21.6
Age 45-64,20.5,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,17.8
Age 65 or older,8.1,Age 25-44,21.6
Age 65 or older,8.1,Age 45-64,20.5
Age 18-24,22.3,Age 25-44,23.2
Age 18-24,22.3,Age 45-64,21.4
Age 18-24,22.3,Age 65 or older,9.9
Age 25-44,23.2,Age 18-24,22.3
Age 25-44,23.2,Age 45-64,21.4
Age 25-44,23.2,Age 65 or older,9.9
Age 45-64,21.4,Age 18-24,22.3
Age 45-64,21.4,Age 25-44,23.2
Age 45-64,21.4,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,22.3
Age 65 or older,9.9,Age 25-44,23.2
Age 65 or older,9.9,Age 45-64,21.4
Age 18-24,17.6,Age 25-44,18.7
Age 18-24,17.6,Age 45-64,14.8
Age 18-24,17.6,Age 65 or older,5.3
Age 25-44,18.7,Age 18-24,17.6
Age 25-44,18.7,Age 45-64,14.8
Age 25-44,18.7,Age 65 or older,5.3
Age 45-64,14.8,Age 18-24,17.6
Age 45-64,14.8,Age 25-44,18.7
Age 45-64,14.8,Age 65 or older,5.3
Age 65 or older,5.3,Age 18-24,17.6
Age 65 or older,5.3,Age 25-44,18.7
Age 65 or older,5.3,Age 45-64,14.8
Age 18-24,21.0,Age 25-44,20.3
Age 18-24,21.0,Age 45-64,14.6
Age 18-24,21.0,Age 65 or older,8.8
Age 25-44,20.3,Age 18-24,21.0
Age 25-44,20.3,Age 45-64,14.6
Age 25-44,20.3,Age 65 or older,8.8
Age 45-64,14.6,Age 18-24,21.0
Age 45-64,14.6,Age 25-44,20.3
Age 45-64,14.6,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,21.0
Age 65 or older,8.8,Age 25-44,20.3
Age 65 or older,8.8,Age 45-64,14.6
Age 18-24,15.4,Age 25-44,24.4
Age 18-24,15.4,Age 45-64,19.4
Age 18-24,15.4,Age 65 or older,7.7
Age 25-44,24.4,Age 18-24,15.4
Age 25-44,24.4,Age 45-64,19.4
Age 25-44,24.4,Age 65 or older,7.7
Age 45-64,19.4,Age 18-24,15.4
Age 45-64,19.4,Age 25-44,24.4
Age 45-64,19.4,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,15.4
Age 65 or older,7.7,Age 25-44,24.4
Age 65 or older,7.7,Age 45-64,19.4
Age 18-24,26.1,Age 25-44,28.9
Age 18-24,26.1,Age 45-64,25.9
Age 18-24,26.1,Age 65 or older,9.9
Age 25-44,28.9,Age 18-24,26.1
Age 25-44,28.9,Age 45-64,25.9
Age 25-44,28.9,Age 65 or older,9.9
Age 45-64,25.9,Age 18-24,26.1
Age 45-64,25.9,Age 25-44,28.9
Age 45-64,25.9,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,26.1
Age 65 or older,9.9,Age 25-44,28.9
Age 65 or older,9.9,Age 45-64,25.9
Age 18-24,17.4,Age 25-44,23.3
Age 18-24,17.4,Age 45-64,19.4
Age 18-24,17.4,Age 65 or older,8.5
Age 25-44,23.3,Age 18-24,17.4
Age 25-44,23.3,Age 45-64,19.4
Age 25-44,23.3,Age 65 or older,8.5
Age 45-64,19.4,Age 18-24,17.4
Age 45-64,19.4,Age 25-44,23.3
Age 45-64,19.4,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,17.4
Age 65 or older,8.5,Age 25-44,23.3
Age 65 or older,8.5,Age 45-64,19.4
Age 18-24,22.6,Age 25-44,23.8
Age 18-24,22.6,Age 45-64,19.6
Age 18-24,22.6,Age 65 or older,8.8
Age 25-44,23.8,Age 18-24,22.6
Age 25-44,23.8,Age 45-64,19.6
Age 25-44,23.8,Age 65 or older,8.8
Age 45-64,19.6,Age 18-24,22.6
Age 45-64,19.6,Age 25-44,23.8
Age 45-64,19.6,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,22.6
Age 65 or older,8.8,Age 25-44,23.8
Age 65 or older,8.8,Age 45-64,19.6
Age 18-24,31.3,Age 25-44,36.7
Age 18-24,31.3,Age 45-64,27.8
Age 18-24,31.3,Age 65 or older,12.2
Age 25-44,36.7,Age 18-24,31.3
Age 25-44,36.7,Age 45-64,27.8
Age 25-44,36.7,Age 65 or older,12.2
Age 45-64,27.8,Age 18-24,31.3
Age 45-64,27.8,Age 25-44,36.7
Age 45-64,27.8,Age 65 or older,12.2
Age 65 or older,12.2,Age 18-24,31.3
Age 65 or older,12.2,Age 25-44,36.7
Age 65 or older,12.2,Age 45-64,27.8
Age 18-24,21.2,Age 25-44,31.6
Age 18-24,21.2,Age 45-64,25.8
Age 18-24,21.2,Age 65 or older,12.0
Age 25-44,31.6,Age 18-24,21.2
Age 25-44,31.6,Age 45-64,25.8
Age 25-44,31.6,Age 65 or older,12.0
Age 45-64,25.8,Age 18-24,21.2
Age 45-64,25.8,Age 25-44,31.6
Age 45-64,25.8,Age 65 or older,12.0
Age 65 or older,12.0,Age 18-24,21.2
Age 65 or older,12.0,Age 25-44,31.6
Age 65 or older,12.0,Age 45-64,25.8
Age 18-24,26.5,Age 25-44,28.1
Age 18-24,26.5,Age 45-64,19.6
Age 18-24,26.5,Age 65 or older,7.7
Age 25-44,28.1,Age 18-24,26.5
Age 25-44,28.1,Age 45-64,19.6
Age 25-44,28.1,Age 65 or older,7.7
Age 45-64,19.6,Age 18-24,26.5
Age 45-64,19.6,Age 25-44,28.1
Age 45-64,19.6,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,26.5
Age 65 or older,7.7,Age 25-44,28.1
Age 65 or older,7.7,Age 45-64,19.6
Age 18-24,14.4,Age 25-44,19.4
Age 18-24,14.4,Age 45-64,17.2
Age 18-24,14.4,Age 65 or older,9.0
Age 25-44,19.4,Age 18-24,14.4
Age 25-44,19.4,Age 45-64,17.2
Age 25-44,19.4,Age 65 or older,9.0
Age 45-64,17.2,Age 18-24,14.4
Age 45-64,17.2,Age 25-44,19.4
Age 45-64,17.2,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,14.4
Age 65 or older,9.0,Age 25-44,19.4
Age 65 or older,9.0,Age 45-64,17.2
Age 18-24,17.7,Age 25-44,20.8
Age 18-24,17.7,Age 45-64,16.0
Age 18-24,17.7,Age 65 or older,8.4
Age 25-44,20.8,Age 18-24,17.7
Age 25-44,20.8,Age 45-64,16.0
Age 25-44,20.8,Age 65 or older,8.4
Age 45-64,16.0,Age 18-24,17.7
Age 45-64,16.0,Age 25-44,20.8
Age 45-64,16.0,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,17.7
Age 65 or older,8.4,Age 25-44,20.8
Age 65 or older,8.4,Age 45-64,16.0
Age 18-24,24.9,Age 25-44,29.8
Age 18-24,24.9,Age 45-64,25.4
Age 18-24,24.9,Age 65 or older,7.7
Age 25-44,29.8,Age 18-24,24.9
Age 25-44,29.8,Age 45-64,25.4
Age 25-44,29.8,Age 65 or older,7.7
Age 45-64,25.4,Age 18-24,24.9
Age 45-64,25.4,Age 25-44,29.8
Age 45-64,25.4,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,24.9
Age 65 or older,7.7,Age 25-44,29.8
Age 65 or older,7.7,Age 45-64,25.4
Age 18-24,20.6,Age 25-44,24.2
Age 18-24,20.6,Age 45-64,18.2
Age 18-24,20.6,Age 65 or older,8.8
Age 25-44,24.2,Age 18-24,20.6
Age 25-44,24.2,Age 45-64,18.2
Age 25-44,24.2,Age 65 or older,8.8
Age 45-64,18.2,Age 18-24,20.6
Age 45-64,18.2,Age 25-44,24.2
Age 45-64,18.2,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,20.6
Age 65 or older,8.8,Age 25-44,24.2
Age 65 or older,8.8,Age 45-64,18.2
Age 18-24,23.8,Age 25-44,28.4
Age 18-24,23.8,Age 45-64,27.3
Age 18-24,23.8,Age 65 or older,9.6
Age 25-44,28.4,Age 18-24,23.8
Age 25-44,28.4,Age 45-64,27.3
Age 25-44,28.4,Age 65 or older,9.6
Age 45-64,27.3,Age 18-24,23.8
Age 45-64,27.3,Age 25-44,28.4
Age 45-64,27.3,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,23.8
Age 65 or older,9.6,Age 25-44,28.4
Age 65 or older,9.6,Age 45-64,27.3
Age 18-24,23.4,Age 25-44,30.0
Age 18-24,23.4,Age 45-64,25.2
Age 18-24,23.4,Age 65 or older,11.7
Age 25-44,30.0,Age 18-24,23.4
Age 25-44,30.0,Age 45-64,25.2
Age 25-44,30.0,Age 65 or older,11.7
Age 45-64,25.2,Age 18-24,23.4
Age 45-64,25.2,Age 25-44,30.0
Age 45-64,25.2,Age 65 or older,11.7
Age 65 or older,11.7,Age 18-24,23.4
Age 65 or older,11.7,Age 25-44,30.0
Age 65 or older,11.7,Age 45-64,25.2
Age 18-24,26.0,Age 25-44,24.1
Age 18-24,26.0,Age 45-64,20.5
Age 18-24,26.0,Age 65 or older,7.8
Age 25-44,24.1,Age 18-24,26.0
Age 25-44,24.1,Age 45-64,20.5
Age 25-44,24.1,Age 65 or older,7.8
Age 45-64,20.5,Age 18-24,26.0
Age 45-64,20.5,Age 25-44,24.1
Age 45-64,20.5,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,26.0
Age 65 or older,7.8,Age 25-44,24.1
Age 65 or older,7.8,Age 45-64,20.5
Age 18-24,22.6,Age 25-44,24.8
Age 18-24,22.6,Age 45-64,19.9
Age 18-24,22.6,Age 65 or older,8.4
Age 25-44,24.8,Age 18-24,22.6
Age 25-44,24.8,Age 45-64,19.9
Age 25-44,24.8,Age 65 or older,8.4
Age 45-64,19.9,Age 18-24,22.6
Age 45-64,19.9,Age 25-44,24.8
Age 45-64,19.9,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,22.6
Age 65 or older,8.4,Age 25-44,24.8
Age 65 or older,8.4,Age 45-64,19.9
Age 18-24,15.4,Age 25-44,17.2
Age 18-24,15.4,Age 45-64,22.2
Age 18-24,15.4,Age 65 or older,14.2
Age 25-44,17.2,Age 18-24,15.4
Age 25-44,17.2,Age 45-64,22.2
Age 25-44,17.2,Age 65 or older,14.2
Age 45-64,22.2,Age 18-24,15.4
Age 45-64,22.2,Age 25-44,17.2
Age 45-64,22.2,Age 65 or older,14.2
Age 65 or older,14.2,Age 18-24,15.4
Age 65 or older,14.2,Age 25-44,17.2
Age 65 or older,14.2,Age 45-64,22.2
Age 18-24,19.5,Age 25-44,24.0
Age 18-24,19.5,Age 45-64,16.2
Age 18-24,19.5,Age 65 or older,6.9
Age 25-44,24.0,Age 18-24,19.5
Age 25-44,24.0,Age 45-64,16.2
Age 25-44,24.0,Age 65 or older,6.9
Age 45-64,16.2,Age 18-24,19.5
Age 45-64,16.2,Age 25-44,24.0
Age 45-64,16.2,Age 65 or older,6.9
Age 65 or older,6.9,Age 18-24,19.5
Age 65 or older,6.9,Age 25-44,24.0
Age 65 or older,6.9,Age 45-64,16.2
Age 18-24,21.5,Age 25-44,20.7
Age 18-24,21.5,Age 45-64,17.8
Age 18-24,21.5,Age 65 or older,8.0
Age 25-44,20.7,Age 18-24,21.5
Age 25-44,20.7,Age 45-64,17.8
Age 25-44,20.7,Age 65 or older,8.0
Age 45-64,17.8,Age 18-24,21.5
Age 45-64,17.8,Age 25-44,20.7
Age 45-64,17.8,Age 65 or older,8.0
Age 65 or older,8.0,Age 18-24,21.5
Age 65 or older,8.0,Age 25-44,20.7
Age 65 or older,8.0,Age 45-64,17.8
Age 18-24,18.4,Age 25-44,25.6
Age 18-24,18.4,Age 45-64,18.6
Age 18-24,18.4,Age 65 or older,10.1
Age 25-44,25.6,Age 18-24,18.4
Age 25-44,25.6,Age 45-64,18.6
Age 25-44,25.6,Age 65 or older,10.1
Age 45-64,18.6,Age 18-24,18.4
Age 45-64,18.6,Age 25-44,25.6
Age 45-64,18.6,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,18.4
Age 65 or older,10.1,Age 25-44,25.6
Age 65 or older,10.1,Age 45-64,18.6
Age 18-24,17.4,Age 25-44,18.4
Age 18-24,17.4,Age 45-64,18.0
Age 18-24,17.4,Age 65 or older,8.1
Age 25-44,18.4,Age 18-24,17.4
Age 25-44,18.4,Age 45-64,18.0
Age 25-44,18.4,Age 65 or older,8.1
Age 45-64,18.0,Age 18-24,17.4
Age 45-64,18.0,Age 25-44,18.4
Age 45-64,18.0,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,17.4
Age 65 or older,8.1,Age 25-44,18.4
Age 65 or older,8.1,Age 45-64,18.0
Age 18-24,20.7,Age 25-44,25.8
Age 18-24,20.7,Age 45-64,22.2
Age 18-24,20.7,Age 65 or older,9.2
Age 25-44,25.8,Age 18-24,20.7
Age 25-44,25.8,Age 45-64,22.2
Age 25-44,25.8,Age 65 or older,9.2
Age 45-64,22.2,Age 18-24,20.7
Age 45-64,22.2,Age 25-44,25.8
Age 45-64,22.2,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,20.7
Age 65 or older,9.2,Age 25-44,25.8
Age 65 or older,9.2,Age 45-64,22.2
Age 18-24,22.4,Age 25-44,28.6
Age 18-24,22.4,Age 45-64,21.0
Age 18-24,22.4,Age 65 or older,8.6
Age 25-44,28.6,Age 18-24,22.4
Age 25-44,28.6,Age 45-64,21.0
Age 25-44,28.6,Age 65 or older,8.6
Age 45-64,21.0,Age 18-24,22.4
Age 45-64,21.0,Age 25-44,28.6
Age 45-64,21.0,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,22.4
Age 65 or older,8.6,Age 25-44,28.6
Age 65 or older,8.6,Age 45-64,21.0
Age 18-24,24.3,Age 25-44,28.7
Age 18-24,24.3,Age 45-64,25.2
Age 18-24,24.3,Age 65 or older,10.2
Age 25-44,28.7,Age 18-24,24.3
Age 25-44,28.7,Age 45-64,25.2
Age 25-44,28.7,Age 65 or older,10.2
Age 45-64,25.2,Age 18-24,24.3
Age 45-64,25.2,Age 25-44,28.7
Age 45-64,25.2,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,24.3
Age 65 or older,10.2,Age 25-44,28.7
Age 65 or older,10.2,Age 45-64,25.2
Age 18-24,28.0,Age 25-44,27.4
Age 18-24,28.0,Age 45-64,24.3
Age 18-24,28.0,Age 65 or older,10.6
Age 25-44,27.4,Age 18-24,28.0
Age 25-44,27.4,Age 45-64,24.3
Age 25-44,27.4,Age 65 or older,10.6
Age 45-64,24.3,Age 18-24,28.0
Age 45-64,24.3,Age 25-44,27.4
Age 45-64,24.3,Age 65 or older,10.6
Age 65 or older,10.6,Age 18-24,28.0
Age 65 or older,10.6,Age 25-44,27.4
Age 65 or older,10.6,Age 45-64,24.3
Age 18-24,17.3,Age 25-44,22.0
Age 18-24,17.3,Age 45-64,19.2
Age 18-24,17.3,Age 65 or older,8.6
Age 25-44,22.0,Age 18-24,17.3
Age 25-44,22.0,Age 45-64,19.2
Age 25-44,22.0,Age 65 or older,8.6
Age 45-64,19.2,Age 18-24,17.3
Age 45-64,19.2,Age 25-44,22.0
Age 45-64,19.2,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,17.3
Age 65 or older,8.6,Age 25-44,22.0
Age 65 or older,8.6,Age 45-64,19.2
Age 18-24,23.0,Age 25-44,29.8
Age 18-24,23.0,Age 45-64,21.1
Age 18-24,23.0,Age 65 or older,8.3
Age 25-44,29.8,Age 18-24,23.0
Age 25-44,29.8,Age 45-64,21.1
Age 25-44,29.8,Age 65 or older,8.3
Age 45-64,21.1,Age 18-24,23.0
Age 45-64,21.1,Age 25-44,29.8
Age 45-64,21.1,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,23.0
Age 65 or older,8.3,Age 25-44,29.8
Age 65 or older,8.3,Age 45-64,21.1
Age 18-24,17.8,Age 25-44,22.2
Age 18-24,17.8,Age 45-64,17.8
Age 18-24,17.8,Age 65 or older,8.8
Age 25-44,22.2,Age 18-24,17.8
Age 25-44,22.2,Age 45-64,17.8
Age 25-44,22.2,Age 65 or older,8.8
Age 45-64,17.8,Age 18-24,17.8
Age 45-64,17.8,Age 25-44,22.2
Age 45-64,17.8,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,17.8
Age 65 or older,8.8,Age 25-44,22.2
Age 65 or older,8.8,Age 45-64,17.8
Age 18-24,25.6,Age 25-44,27.9
Age 18-24,25.6,Age 45-64,23.1
Age 18-24,25.6,Age 65 or older,10.1
Age 25-44,27.9,Age 18-24,25.6
Age 25-44,27.9,Age 45-64,23.1
Age 25-44,27.9,Age 65 or older,10.1
Age 45-64,23.1,Age 18-24,25.6
Age 45-64,23.1,Age 25-44,27.9
Age 45-64,23.1,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,25.6
Age 65 or older,10.1,Age 25-44,27.9
Age 65 or older,10.1,Age 45-64,23.1
Age 18-24,29.9,Age 25-44,26.2
Age 18-24,29.9,Age 45-64,22.4
Age 18-24,29.9,Age 65 or older,9.2
Age 25-44,26.2,Age 18-24,29.9
Age 25-44,26.2,Age 45-64,22.4
Age 25-44,26.2,Age 65 or older,9.2
Age 45-64,22.4,Age 18-24,29.9
Age 45-64,22.4,Age 25-44,26.2
Age 45-64,22.4,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,29.9
Age 65 or older,9.2,Age 25-44,26.2
Age 65 or older,9.2,Age 45-64,22.4
Age 18-24,24.6,Age 25-44,29.9
Age 18-24,24.6,Age 45-64,26.7
Age 18-24,24.6,Age 65 or older,12.5
Age 25-44,29.9,Age 18-24,24.6
Age 25-44,29.9,Age 45-64,26.7
Age 25-44,29.9,Age 65 or older,12.5
Age 45-64,26.7,Age 18-24,24.6
Age 45-64,26.7,Age 25-44,29.9
Age 45-64,26.7,Age 65 or older,12.5
Age 65 or older,12.5,Age 18-24,24.6
Age 65 or older,12.5,Age 25-44,29.9
Age 65 or older,12.5,Age 45-64,26.7
Age 18-24,18.5,Age 25-44,21.2
Age 18-24,18.5,Age 45-64,18.4
Age 18-24,18.5,Age 65 or older,9.7
Age 25-44,21.2,Age 18-24,18.5
Age 25-44,21.2,Age 45-64,18.4
Age 25-44,21.2,Age 65 or older,9.7
Age 45-64,18.4,Age 18-24,18.5
Age 45-64,18.4,Age 25-44,21.2
Age 45-64,18.4,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,18.5
Age 65 or older,9.7,Age 25-44,21.2
Age 65 or older,9.7,Age 45-64,18.4
Age 18-24,11.8,Age 25-44,11.4
Age 18-24,11.8,Age 45-64,11.4
Age 18-24,11.8,Age 65 or older,4.7
Age 25-44,11.4,Age 18-24,11.8
Age 25-44,11.4,Age 45-64,11.4
Age 25-44,11.4,Age 65 or older,4.7
Age 45-64,11.4,Age 18-24,11.8
Age 45-64,11.4,Age 25-44,11.4
Age 45-64,11.4,Age 65 or older,4.7
Age 65 or older,4.7,Age 18-24,11.8
Age 65 or older,4.7,Age 25-44,11.4
Age 65 or older,4.7,Age 45-64,11.4
Age 18-24,19.8,Age 25-44,21.7
Age 18-24,19.8,Age 45-64,16.8
Age 18-24,19.8,Age 65 or older,6.0
Age 25-44,21.7,Age 18-24,19.8
Age 25-44,21.7,Age 45-64,16.8
Age 25-44,21.7,Age 65 or older,6.0
Age 45-64,16.8,Age 18-24,19.8
Age 45-64,16.8,Age 25-44,21.7
Age 45-64,16.8,Age 65 or older,6.0
Age 65 or older,6.0,Age 18-24,19.8
Age 65 or older,6.0,Age 25-44,21.7
Age 65 or older,6.0,Age 45-64,16.8
Age 18-24,21.4,Age 25-44,20.1
Age 18-24,21.4,Age 45-64,21.5
Age 18-24,21.4,Age 65 or older,9.6
Age 25-44,20.1,Age 18-24,21.4
Age 25-44,20.1,Age 45-64,21.5
Age 25-44,20.1,Age 65 or older,9.6
Age 45-64,21.5,Age 18-24,21.4
Age 45-64,21.5,Age 25-44,20.1
Age 45-64,21.5,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,21.4
Age 65 or older,9.6,Age 25-44,20.1
Age 65 or older,9.6,Age 45-64,21.5
Age 18-24,14.8,Age 25-44,21.9
Age 18-24,14.8,Age 45-64,18.1
Age 18-24,14.8,Age 65 or older,7.5
Age 25-44,21.9,Age 18-24,14.8
Age 25-44,21.9,Age 45-64,18.1
Age 25-44,21.9,Age 65 or older,7.5
Age 45-64,18.1,Age 18-24,14.8
Age 45-64,18.1,Age 25-44,21.9
Age 45-64,18.1,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,14.8
Age 65 or older,7.5,Age 25-44,21.9
Age 65 or older,7.5,Age 45-64,18.1
Age 18-24,33.2,Age 25-44,37.4
Age 18-24,33.2,Age 45-64,29.5
Age 18-24,33.2,Age 65 or older,10.4
Age 25-44,37.4,Age 18-24,33.2
Age 25-44,37.4,Age 45-64,29.5
Age 25-44,37.4,Age 65 or older,10.4
Age 45-64,29.5,Age 18-24,33.2
Age 45-64,29.5,Age 25-44,37.4
Age 45-64,29.5,Age 65 or older,10.4
Age 65 or older,10.4,Age 18-24,33.2
Age 65 or older,10.4,Age 25-44,37.4
Age 65 or older,10.4,Age 45-64,29.5
Age 18-24,20.4,Age 25-44,24.6
Age 18-24,20.4,Age 45-64,23.8
Age 18-24,20.4,Age 65 or older,6.7
Age 25-44,24.6,Age 18-24,20.4
Age 25-44,24.6,Age 45-64,23.8
Age 25-44,24.6,Age 65 or older,6.7
Age 45-64,23.8,Age 18-24,20.4
Age 45-64,23.8,Age 25-44,24.6
Age 45-64,23.8,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,20.4
Age 65 or older,6.7,Age 25-44,24.6
Age 65 or older,6.7,Age 45-64,23.8
Age 18-24,28.7,Age 25-44,28.3
Age 18-24,28.7,Age 45-64,18.5
Age 18-24,28.7,Age 65 or older,11.2
Age 25-44,28.3,Age 18-24,28.7
Age 25-44,28.3,Age 45-64,18.5
Age 25-44,28.3,Age 65 or older,11.2
Age 45-64,18.5,Age 18-24,28.7
Age 45-64,18.5,Age 25-44,28.3
Age 45-64,18.5,Age 65 or older,11.2
Age 65 or older,11.2,Age 18-24,28.7
Age 65 or older,11.2,Age 25-44,28.3
Age 65 or older,11.2,Age 45-64,18.5
Age 18-24,17.1,Age 25-44,28.2
Age 18-24,17.1,Age 45-64,24.0
Age 18-24,17.1,Age 65 or older,8.9
Age 25-44,28.2,Age 18-24,17.1
Age 25-44,28.2,Age 45-64,24.0
Age 25-44,28.2,Age 65 or older,8.9
Age 45-64,24.0,Age 18-24,17.1
Age 45-64,24.0,Age 25-44,28.2
Age 45-64,24.0,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,17.1
Age 65 or older,8.9,Age 25-44,28.2
Age 65 or older,8.9,Age 45-64,24.0
